Format:,ppr
Teams:,12
Rounds:,15
Total drafts:,7726
Start date:,2026-08-18
End date:,2026-08-25

ADP,Overall,Name,Position,Team,Times Drafted,Std. Dev,High,Low,Bye
1.02,1.5,Jahmyr Gibbs,RB,DET,1954,0.7,1,4,6
1.02,2.1,Bijan Robinson,RB,ATL,1155,0.7,1,6,11
1.03,3.1,Puka Nacua,WR,LAR,302,0.9,1,6,11
1.04,3.8,Ja'Marr Chase,WR,CIN,2021,1.0,1,8,6
1.05,5.4,Jaxon Smith-Njigba,WR,SEA,1075,1.1,2,11,11
1.06,6.4,Amon-Ra St. Brown,WR,DET,1151,1.3,2,12,6
1.07,6.6,Christian McCaffrey,RB,SF,1596,1.6,2,12,8
1.07,7.5,Jonathan Taylor,RB,IND,1791,1.7,3,14,13
1.10,10.0,Drake London,WR,ATL,294,1.7,6,16,11
1.10,10.4,De'Von Achane,RB,MIA,808,1.9,5,18,6
1.11,10.7,CeeDee Lamb,WR,DAL,1337,1.9,6,18,14
1.12,11.7,Justin Jefferson,WR,MIN,1362,2.3,5,20,6
2.01,12.7,James Cook III,RB,BUF,2881,2.9,5,22,7
2.01,13.3,Chase Brown,RB,CIN,1776,2.5,6,20,6
2.03,14.8,Rashee Rice,WR,KC,248,2.2,9,22,5
2.03,15.1,Ashton Jeanty,RB,LV,1314,3.2,6,23,13
2.06,17.6,Derrick Henry,RB,BAL,1057,2.6,10,25,13
2.06,18.2,A.J. Brown,WR,NE,1530,3.2,9,29,11
2.07,19.5,Chris Olave,WR,NO,548,3.3,10,30,8
2.08,19.5,Saquon Barkley,RB,PHI,2624,3.3,10,31,10
2.09,20.6,George Pickens,WR,DAL,728,3.0,12,29,14
2.09,21.0,Nico Collins,WR,HOU,835,2.9,13,32,8
2.10,21.8,Kenneth Walker,RB,KC,2477,4.1,11,34,5
2.11,23.4,Omarion Hampton,RB,LAC,2287,4.3,12,37,7
3.02,25.7,Garrett Wilson,WR,NYJ,344,2.9,18,36,13
3.02,26.1,Zay Flowers,WR,BAL,448,3.0,18,37,13
3.03,27.3,Malik Nabers,WR,NYG,1618,3.4,18,40,8
3.04,27.7,Jeremiyah Love,RB,ARI,629,3.6,18,41,14
3.05,29.0,Trey McBride,TE,ARI,1058,4.7,16,44,14
3.06,29.8,DeVonta Smith,WR,PHI,1435,3.6,20,43,10
3.07,30.6,Josh Jacobs,RB,GB,650,3.6,21,40,11
3.08,31.6,Kyren Williams,RB,LAR,1308,4.3,20,44,11
3.08,32.2,Tetairoa McMillan,WR,CAR,562,3.7,22,43,5
3.10,34.2,Josh Allen,QB,BUF,1697,8.6,11,50,7
3.11,34.8,Emeka Egbuka,WR,TB,1711,4.0,24,50,10
3.11,35.3,Breece Hall,RB,NYJ,641,4.8,22,47,13
3.11,35.4,Brock Bowers,TE,LV,2597,7.3,16,52,13
3.12,36.5,Javonte Williams,RB,DAL,1548,4.5,24,50,14
4.01,36.8,Tee Higgins,WR,CIN,1087,4.9,24,52,6
4.01,37.1,Cam Skattebo,RB,NYG,541,5.0,24,56,8
4.02,37.8,Ladd McConkey,WR,LAC,2223,4.4,26,59,7
4.03,39.1,Travis Etienne Jr.,RB,NO,794,4.9,26,52,8
4.06,42.0,Davante Adams,WR,LAR,858,4.3,30,59,11
4.08,44.2,Jameson Williams,WR,DET,499,4.4,32,62,6
4.09,44.7,Bucky Irving,RB,TB,589,4.4,33,58,10
4.10,45.7,D'Andre Swift,RB,CHI,1145,4.4,34,58,10
4.10,46.0,Jaylen Waddle,WR,DEN,2202,5.5,31,71,10
4.11,46.9,Terry McLaurin,WR,WAS,925,4.7,34,66,7
4.12,48.5,DJ Moore,WR,BUF,2524,6.3,32,70,7
5.02,50.4,Quinshon Judkins,RB,CLE,810,5.1,37,64,11
5.04,51.8,Drake Maye,QB,NE,377,7.8,31,70,11
5.04,52.2,Bhayshul Tuten,RB,JAX,963,5.4,38,69,7
5.05,52.6,Rome Odunze,WR,CHI,1109,6.2,36,72,10
5.06,54.3,Mike Evans,WR,SF,1031,6.3,38,77,8
5.09,56.9,Lamar Jackson,QB,BAL,851,6.8,39,74,13
5.09,57.0,Colston Loveland,TE,CHI,1961,9.0,33,79,10
5.10,57.9,Joe Burrow,QB,CIN,739,7.4,38,77,6
5.10,58.3,Luther Burden III,WR,CHI,1338,7.8,38,83,10
5.10,58.4,Jaylen Warren,RB,PIT,253,6.1,43,74,9
5.10,58.4,David Montgomery,RB,HOU,1841,6.3,41,81,8
