ds_rank	player	team	pos_rank	cbs_adp	consensus_adp	sleeper_adp
1	J. Gibbs	DET	RB1	1	1	1
2	P. Nacua	LAR	WR1	4	4	4
3	J. Chase	CIN	WR2	3	3	3
4	B. Robinson	ATL	RB2	2	2	2
5	C. McCaffrey	SF	RB3	7	5	5
6	J. Smith-Njigba	SEA	WR3	6	6	6
7	A. St. Brown	DET	WR4	8	8	8
8	C. Lamb	DAL	WR5	12	10	10
9	J. Jefferson	MIN	WR6	15	11	12
10	J. Taylor	IND	RB4	5	7	7
11	J. Cook	BUF	RB5	9	9	9
12	K. Walker III	KC	RB6	16	19	20
13	D. London	ATL	WR7	20	20	18
14	S. Barkley	PHI	RB7	14	14	11
15	A. Brown	NE	WR8	18	17	17
16	A. Jeanty	LVR	RB8	22	16	14
17	N. Collins	HOU	WR9	24	23	25
18	D. Achane	MIA	RB9	11	12	13
19	C. Brown	CIN	RB10	10	13	16
20	G. Pickens	DAL	WR10	21	21	22
21	O. Hampton	LAC	RB11	17	15	15
22	R. Rice	KC	WR11	23	29	29
23	B. Bowers	LVR	TE1	25	22	24
24	D. Henry	BAL	RB12	13	18	19
25	T. McBride	ARI	TE2	27	25	23
26	J. Allen	BUF	QB1	19	26	21
27	C. Olave	NO	WR12	28	24	30
28	M. Nabers	NYG	WR13	29	27	26
29	Z. Flowers	BAL	WR14	34	34	40
30	D. Smith	PHI	WR15	31	32	32
31	T. Higgins	CIN	WR16	37	40	36
32	B. Hall	NYJ	RB13	38	33	34
34	G. Wilson	NYJ	WR17	45	37	45
35	C. Loveland	CHI	TE3	40	42	39
36	J. Love	ARI	RB14	32	28	27
37	J. Williams	DAL	RB15	30	30	33
38	J. Waddle	DEN	WR18	46	43	44
41	T. Warren	IND	TE4	55	53	48
42	T. Etienne	NO	RB16	33	35	43
43	L. Jackson	BAL	QB2	41	45	31
44	D. Adams	LAR	WR19	53	50	49
45	C. Watson	GB	WR20	61	61	68
46	L. Burden III	CHI	WR21	58	51	54
47	T. McMillan	CAR	WR22	42	36	37
48	K. Williams	LAR	RB17	26	31	28
49	E. Egbuka	TB	WR23	44	38	38
50	L. McConkey	LAC	WR24	39	39	35
55	D. Swift	CHI	RB18	35	44	50
56	T. McLaurin	WAS	WR25	57	52	55
57	M. Evans	SF	WR26	69	62	61
58	J. Hurts	PHI	QB3	62	67	59
59	D. Maye	NE	QB4	51	55	47
60	J. Daniels	WAS	QB5	63	66	65
61	J. Burrow	CIN	QB6	50	57	51
62	C. Skattebo	NYG	RB19	36	41	41
63	B. Irving	TB	RB20	43	49	42
64	J. Williams	DET	WR27	56	54	58
65	R. Odunze	CHI	WR28	60	60	64
66	D. Montgomery	HOU	RB21	48	48	46
68	R. Stevenson	NE	RB22	66	64	80
69	T. Kraft	GB	TE5	71	73	63
70	S. LaPorta	DET	TE6	64	82	57
71	H. Fannin Jr.	CLE	TE7	65	70	69
72	Q. Judkins	CLE	RB23	47	47	53
74	J. Herbert	LAC	QB7	81	86	81
75	T. Lawrence	JAC	QB8	79	89	99
76	C. Williams	CHI	QB9	74	76	70
77	D. Moore	BUF	WR29	49	46	52
78	P. Washington	JAC	WR30	67	63	72
79	K. Murray	MIN	QB10	137	140	150
80	B. Purdy	SF	QB11	96	111	121
81	D. Prescott	DAL	QB12	59	79	76
82	J. Warren	PIT	RB24	75	65	71
83	J. Dart	NYG	QB13	109	103	93
84	B. Tuten	JAC	RB25	54	56	60
85	T. Henderson	NE	RB26	70	58	56
87	J. Price	SEA	RB27	52	59	62
88	D. Metcalf	PIT	WR31	88	75	74
89	R. Dowdle	PIT	RB28	76	77	85
90	C. Tate	TEN	WR32	87	68	66
91	J. Brooks	CAR	RB29	83	80	98
92	B. Nix	DEN	QB14	120	115	116
93	K. Pitts	ATL	TE8	73	72	67
94	P. Mahomes	KC	QB15	102	112	110
95	M. Harrison Jr.	ARI	WR33	68	69	75
96	G. Kittle	SF	TE9	78	90	83
99	J. Reed	GB	WR34	123	107	108
100	T. Pollard	TEN	RB30	72	74	82
101	M. Lloyd	GB	RB31	90	118	158
102	C. Sutton	DEN	WR35	77	71	79
103	J. Goff	DET	QB16	107	123	131
104	M. Pittman Jr.	PIT	WR36	112	91	103
105	J. Dobbins	DEN	RB32	85	87	91
106	M. Stafford	LAR	QB17	92	97	95
107	J. Addison	MIN	WR37	108	104	101
108	J. Love	GB	QB18	144	150	152
109	B. Thomas Jr.	JAC	WR38	84	78	73
110	T. Shough	NO	QB19	153	155	187
111	C. Godwin	TB	WR39	86	84	92
113	R. Harvey	DEN	RB33	94	83	78
114	J. Croskey-Merritt	WAS	RB34	101	108	114
116	J. Mason	MIN	RB35	93	100	109
117	B. Mayfield	TB	QB20	135	139	143
119	Q. Johnston	LAC	WR40	91	95	112
121	C. Hubbard	CAR	RB36	106	85	77
122	J. Meyers	JAC	WR41	129	114	125
124	T. Spears	TEN	RB37	149	146	163
125	S. Diggs	WAS	WR42	110	99	107
127	J. Downs	IND	WR43	121	105	113
128	B. Corum	LAR	RB38	100	94	100
129	K. Gainwell	TB	RB39	97	93	111
131	K. Monangai	CHI	RB40	111	101	102
132	T. Kelce	KC	TE10	98	102	88
134	R. White	WAS	RB41	126	110	132
135	W. Marks	HOU	RB42	136	131	147
137	M. Willis	MIA	QB21	165	171	209
139	X. Worthy	KC	WR44	139	128	137
140	A. Jones	MIN	RB43	119	120	126
142	B. Aubrey	DAL	K1	105	96	90
143	R. Doubs	NE	WR45	131	127	130
144	D. Jones	IND	QB22	164	184	202
148	K. Concepcion	CLE	WR46	115	124	118
153	M. Wilson	ARI	WR47	99	81	84
154	Z. Charbonnet	SEA	RB44	143	149	149
161	A. Pierce	IND	WR48	82	88	96
163	W. Robinson	TEN	WR49	113	92	119
164	M. Golden	GB	WR50	130	122	124
167	M. Lemon	PHI	WR51	128	106	89
169	K. Mitchell	LAC	RB45	173	156	184
170	D. Sampson	CLE	RB46	176	165	189
171	C. Dicker	LAC	K2	145	136	117
172	C. Ward	TEN	QB23	N/A	222	244
174	C. Rodriguez	JAC	RB47	138	132	138
178	H. Texans	HOU	DEF1	103	126	94
183	K. Shakir	BUF	WR52	160	142	142
185	C. Stroud	HOU	QB24	169	196	205
187	D. Kincaid	BUF	TE11	117	121	86
188	M. Washington Jr.	LVR	RB48	122	148	159
189	D. Samuel	SF	WR53	127	137	129
194	J. Tyson	NO	WR54	156	129	104
195	D. Goedert	PHI	TE12	80	125	120
197	T. Allgeier	ARI	RB49	148	143	141
201	D. Broncos	DEN	DEF2	95	116	115
202	K. Fairbairn	HOU	K3	132	141	128
203	D. Stribling	SF	WR55	114	117	136
205	B. Young	CAR	QB25	N/A	217	232
206	S. Seahawks	SEA	DEF3	116	135	105
207	J. Ferguson	DAL	TE13	124	119	97
209	B. Robinson Jr.	ATL	RB50	184	166	171
211	J. Brissett	ARI	QB26	N/A	261	N/A
212	S. Darnold	SEA	QB27	150	188	162
213	M. Andrews	BAL	TE14	118	130	127
214	A. Kamara	NO	RB51	178	160	166
216	C. Little	JAC	K4	155	151	133
217	P. Steelers	PIT	DEF4	146	216	151
218	R. Shaheed	SEA	WR56	147	144	148
219	C. Santos	CHI	K5	199	255	238
220	T. Tracy Jr.	NYG	RB52	154	157	173
221	J. Coleman	DEN	RB53	151	153	165
222	I. Likely	NYG	TE15	89	109	106
223	B. Ravens	BAL	DEF5	158	232	134
224	A. Rodgers	PIT	QB28	N/A	250	243
226	E. Pineiro	SF	K6	187	205	192
227	E. McPherson	CIN	K7	190	213	180
229	J. Myers	SEA	K8	125	147	123
230	J. Johnson	NO	TE16	140	152	179
231	G. Smith	NYJ	QB29	N/A	291	N/A
232	J. Hill	BAL	RB54	N/A	220	N/A
233	B. Strange	JAC	TE17	142	162	155
234	J. Bates	DET	K9	171	159	139
235	F. Mendoza	LVR	QB30	N/A	234	186
236	P. Eagles	PHI	DEF6	133	138	122
237	M. Vikings	MIN	DEF7	134	179	153
238	H. Mevis	LAR	K10	185	170	154
239	L. Rams	LAR	DEF8	104	133	87
241	J. Coker	CAR	WR57	141	134	146
244	J. McMillan	TB	WR58	N/A	191	208
245	E. Johnson	KC	RB55	182	194	207
246	N. Patriots	NE	DEF9	152	154	135
247	D. Boston	CLE	WR59	168	172	170
249	K. Allen	IND	WR60	183	176	199
251	W. Reichard	MIN	K11	201	212	169
252	L. Chargers	LAC	DEF10	166	180	167
253	J. Jaguars	JAC	DEF11	172	177	156
257	T. Smack	GB	K12	N/A	237	195
258	N. Harris	NYG	RB56	N/A	245	222
259	I. Pacheco	DET	RB57	162	164	190
260	B. Allen	NYJ	RB58	177	197	203
262	K. Chiefs	KC	DEF12	203	N/A	231
265	D. Lions	DET	DEF13	179	203	157
266	W. Lutz	DEN	K13	212	286	N/A
267	J. Conner	ARI	RB59	214	266	249
271	H. Butker	KC	K14	186	187	161
273	H. Henry	NE	TE18	159	158	140
274	T. Tucker	LVR	WR61	161	168	201
275	N. Singleton	TEN	RB60	N/A	254	212
276	B. Bills	BUF	DEF14	193	N/A	217
277	N. Giants	NYG	DEF15	N/A	N/A	278
280	T. Loop	BAL	K15	208	185	177
282	A. Mitchell	NYJ	WR62	N/A	224	253
283	G. Holani	SEA	RB61	N/A	243	N/A
284	T. Bigsby	PHI	RB62	163	167	178
287	K. Black	SF	RB63	170	186	194
289	K. Allen	WAS	RB64	N/A	272	282
290	S. Tucker	TB	RB65	N/A	269	N/A
291	A. Borregales	NE	K16	214	230	174
293	K. Vidal	LAC	RB66	N/A	258	273
295	D. Schultz	HOU	TE19	157	189	181
297	K. Miller	NO	RB67	N/A	N/A	230
298	L. Allen	JAC	RB68	N/A	145	N/A
299	C. Boswell	PIT	K17	N/A	209	144
300	T. Johnson	BUF	RB69	N/A	268	N/A
301	R. Davis	BUF	RB70	N/A	218	226
303	G. Packers	GB	DEF16	206	296	204
304	C. Bears	CHI	DEF17	211	N/A	224
308	C. McLaughlin	TB	K18	209	253	223
309	C. Browns	CLE	DEF18	202	277	N/A
311	T. Buccaneers	TB	DEF19	N/A	N/A	257
312	K. Sadiq	NYJ	TE20	188	181	172
