Rank,Player,Position,Team,ADP
1,Jahmyr Gibbs,RB,DET,1.4
2,Bijan Robinson,RB,ATL,2.5
3,Ja'Marr Chase,WR,CIN,3.9
4,Puka Nacua,WR,LAR,5.2
5,Jaxon Smith-Njigba,WR,SEA,5.7
6,Christian McCaffrey,RB,SF,7.3
7,Jonathan Taylor,RB,IND,7.6
8,Amon-Ra St. Brown,WR,DET,8.2
9,CeeDee Lamb,WR,DAL,10.7
10,De'Von Achane,RB,MIA,12.0
11,Justin Jefferson,WR,MIN,12.1
12,James Cook III,RB,BUF,12.4
13,Ashton Jeanty,RB,LV,17.4
14,Drake London,WR,ATL,18.5
15,Jeremiyah Love,RB,ARI,22.8
16,Rashee Rice,WR,KC,22.1
17,Trey McBride,TE,ARI,20.6
18,Saquon Barkley,RB,PHI,15.5
19,Derrick Henry,RB,BAL,18.8
20,Chase Brown,RB,CIN,22.3
21,Kenneth Walker III,RB,KC,22.2
22,Omarion Hampton,RB,LAC,25.6
23,Breece Hall,RB,NYJ,33.7
24,Brock Bowers,TE,LV,24.3
25,Nico Collins,WR,HOU,26.9
26,Chris Olave,WR,NO,31.0
27,Garrett Wilson,WR,NYJ,36.4
28,A.J. Brown,WR,NE,26.8
29,Malik Nabers,WR,NYG,34.0
30,Josh Jacobs,RB,GB,37.0
31,Javonte Williams,RB,DAL,35.4
32,George Pickens,WR,DAL,30.7
33,Tetairoa McMillan,WR,CAR,41.5
34,Zay Flowers,WR,BAL,40.7
35,DeVonta Smith,WR,PHI,40.8
36,Josh Allen,QB,BUF,22.1
37,Travis Etienne Jr.,RB,NO,43.8
38,Kyren Williams,RB,LAR,41.7
39,Quinshon Judkins,RB,CLE,54.7
40,Cam Skattebo,RB,NYG,44.0
41,Bucky Irving,RB,TB,53.6
42,Emeka Egbuka,WR,TB,48.0
43,Davante Adams,WR,LAR,46.0
44,Ladd McConkey,WR,LAC,50.5
45,Terry McLaurin,WR,WAS,59.8
46,Tee Higgins,WR,CIN,55.5
