Rank,Player,Team,Position,Bye,ADP
1,Jahmyr Gibbs,DET,RB,6,1.3
2,Bijan Robinson,ATL,RB,11,2.4
3,Ja'Marr Chase,CIN,WR,6,4.3
4,Puka Nacua,LAR,WR,11,5.3
5,Jonathan Taylor,IND,RB,13,6.2
6,Jaxon Smith-Njigba,SEA,WR,11,6.3
7,Christian McCaffrey,SF,RB,8,7.7
8,Amon-Ra St. Brown,DET,WR,6,8.4
9,James Cook III,BUF,RB,7,10.1
10,CeeDee Lamb,DAL,WR,14,11.8
11,Justin Jefferson,MIN,WR,6,12.6
12,De'Von Achane,MIA,RB,6,12.6
13,Omarion Hampton,LAC,RB,7,18.0
14,Chase Brown,CIN,RB,6,17.1
15,Saquon Barkley,PHI,RB,10,14.0
16,Derrick Henry,BAL,RB,13,16.5
17,Ashton Jeanty,LV,RB,13,21.8
18,Drake London,ATL,WR,11,20.4
19,Jeremiyah Love,ARI,RB,14,25.9
20,A.J. Brown,NE,WR,11,21.0
21,Trey McBride,ARI,TE,14,23.1
22,Brock Bowers,LV,TE,13,23.9
23,Nico Collins,HOU,WR,8,25.7
24,Chris Olave,NO,WR,8,29.4
25,Rashee Rice,KC,WR,5,29.4
26,Josh Allen,BUF,QB,7,19.1
27,George Pickens,DAL,WR,14,28.2
28,Kenneth Walker III,KC,RB,5,24.8
29,Garrett Wilson,NYJ,WR,13,37.1
30,Breece Hall,NYJ,RB,13,36.0
31,Javonte Williams,DAL,RB,14,32.6
32,Kyren Williams,LAR,RB,11,34.8
33,Malik Nabers,NYG,WR,8,35.1
34,DeVonta Smith,PHI,WR,10,36.5
35,Travis Etienne Jr.,NO,RB,8,40.4
36,Tetairoa McMillan,CAR,WR,5,42.3
37,Zay Flowers,BAL,WR,13,44.0
38,Emeka Egbuka,TB,WR,10,44.9
39,Quinshon Judkins,CLE,RB,11,48.4
40,Ladd McConkey,LAC,WR,7,45.8
41,Tee Higgins,CIN,WR,6,51.3
42,Colston Loveland,CHI,TE,10,42.3
43,Lamar Jackson,BAL,QB,13,34.4
44,Davante Adams,LAR,WR,11,46.1
45,Cam Skattebo,NYG,RB,8,45.0
46,D'Andre Swift,CHI,RB,10,51.8
47,Bhayshul Tuten,JAX,RB,7,61.2
48,Jaylen Waddle,DEN,WR,10,52.2
49,Bucky Irving,TB,RB,10,56.7
50,Terry McLaurin,WAS,WR,7,60.9
51,DJ Moore,BUF,WR,7,59.8
52,Tyler Warren,IND,TE,13,52.0
53,Jameson Williams,DET,WR,6,64.1
54,Rome Odunze,CHI,WR,10,65.4
55,Jayden Daniels,WAS,QB,7,53.1
56,Drake Maye,NE,QB,11,47.1
57,David Montgomery,HOU,RB,8,61.4
58,Jadarian Price,SEA,RB,11,66.6
59,Luther Burden III,CHI,WR,10,74.8
60,TreVeyon Henderson,NE,RB,11,77.3
61,Carnell Tate,TEN,WR,9,78.2
62,Mike Evans,SF,WR,8,83.7
63,Marvin Harrison Jr.,ARI,WR,14,78.7
64,Joe Burrow,CIN,QB,6,53.5
65,Rhamondre Stevenson,NE,RB,11,78.0
